chunk_id,text,token_count,start_token_index,end_token_index
22,"en yansıtıcı değildir, yansıma derecesi aşınmış asfaltdan biraz daha parlaktır. Ancak, açısal çapı büyük olduğu için dolunayda gece gökteki en parlak gök cismi olur. Ay'ın görünen boyutu Güneş'inkiyle hemen hemen aynıdır, bu ise tam güneş tutulması esnasında Güneş'i neredeyse tamamen kaplamasına neden olur, Aya ilk ayak basan insan Neil Armstorg' dur. Türk Dil Kurumu kelimenin Türkçe olduğunu söyler. Büyük harfle yazıldığını belirtir. Ay yüzeyi Ay'ın iki yüzü Ay, Dünya'nın yörüngesinde eş zamanlı olarak hareket eder, yani her zaman aynı yüzü Dünya'ya dönüktür. Ay'ın oluşumunun başlarında dönüşü yavaşladı ve Dünya'nın kütlesi nedeniyle oluşan gelgit deformasyonlarına bağlı sürtünme etkilerinin sonucu olarak günümüzdeki konumunda kilitlendi. ",300,5280,5580
23,"üşü yavaşladı ve Dünya'nın kütlesi nedeniyle oluşan gelgit deformasyonlarına bağlı sürtünme etkilerinin sonucu olarak günümüzdeki konumunda kilitlendi.  Çok uzun zaman önceleri Ay daha hızlı dönerken, gelgit tümseği Dünya-Ay hattının önünde dönüyordu. Çünkü gelgit tümsekleri yeteri kadar hızlı olarak Dünya ile aynı hatta gelemiyordu. Bu hattın dışına çıkan tümsek nedeniyle oluşan tork Ay'ın dönüşünü yavaşlattı. Ay'ın dönüşü yörünge hızına denk gelecek kadar yavaşladığında gelgit tümseği Dünya'nın tam karşısına geldi ve bu nedenle tork ortadan kayboldu. İşte bu nedenden ötürü Ay, Dünya yörüngesinde döndüğü hızla kendi çevresinde de döner ve Dünya'dan her zaman Ay'ın aynı yüzü görünür. Ay'ın göründüğü açının",300,5520,5820
24,", Dünya yörüngesinde döndüğü hızla kendi çevresinde de döner ve Dünya'dan her zaman Ay'ın aynı yüzü görünür. Ay'ın göründüğü açının küçük değişimleri (Ay sallantısı) nedeniyle Ay yüzeyinin %59'u görünür. Ay'ın Dünya'ya karşı olan yüzünden Ay'ın görünen yüzü, diğer tarafına da Ay'ın öteki yüzü denir. Öteki yüz Ay'ın karanlık yüzü ile karıştırılmamalıdır. Ay'ın karanlık yüzü herhangi bir anda Güneş tarafından aydınlatılmayan yarıküresidir. Ayda bir kere bu yüz yeniay safhasına Ay'ın görünen yüzü olur. Ay'ın öteki yüzü ilk olarak 1959'da Sovyet uzay sondası Luna 3 tarafından fotoğraflandı. Ay'ın öteki yüzünün ayırt edici özelliklerinden biri Ay denizi (Latince: (mare, çoğulu maria) adı verilen düzlükler",300,5760,6060
25,"ası Luna 3 tarafından fotoğraflandı. Ay'ın öteki yüzünün ayırt edici özelliklerinden biri Ay denizi (Latince: (mare, çoğulu maria) adı verilen düzlüklerin hemen hemen hiç olmamasıdır. Ay denizleri Çıplak gözle rahatlıkla görünebilen Ay yüzeyinde bulunan karanlık Ay düzlüklerine Ay denizi denir. Çünkü antik dönem gök bilimcileri bunların suyla dolu olduklarını zannediyordu. Günümüzde bunların katılaşmış bazalt olduğu bilinmektedir. Bazaltı oluşturan lav, Ay yüzüne göktaşları ve kuyruklu yıldızların çarpması sonucu oluşan krater düzlüklerini doldurmuş ve katılaşarak bu bazaltı oluşturmuştur (Oceanus Procellarum krater düzlüğü değildir ve bu kurala önemli bir istisna oluşturur.) Ay denizleri hemen hemen yalnızca Ay'ın görünen yüzünde bulunur.",300,6000,6300
26,"Oceanus Procellarum krater düzlüğü değildir ve bu kurala önemli bir istisna oluşturur.) Ay denizleri hemen hemen yalnızca Ay'ın görünen yüzünde bulunur. Ay'ın öteki yüzünün yalnızca %2'sinde birkaç dağılmış küçük düzlük bulunur. Ayın görünen yüzündeyse bu oran %31'dir. Bu farklılığın en akla yatkın açıklaması, Lunar Prospector uzay sondasının gamma ışını spektrometresi ile elde edilen jeokimyasal haritalarda gösterildiği üzere Ay'ın görünen yüzünde ısı üreten elementlerin daha yüksek konsantrasyonda bulunmasıdır. Kalkan tipi yanardağlar ve kubbemsi dağlar görünen yüz üzerindeki Ay denizlerinde rastlanan özelliklerdir. Ay dağları Ay yüzeyinde görünen açık renkli bölgelere Ay dağları (Latince: terrae (çoğul), terra (tekil)) denir; çünkü Ay denizlerinden daha yüksekt",300,6240,6540
27,"lerdir. Ay dağları Ay yüzeyinde görünen açık renkli bölgelere Ay dağları (Latince: terrae (çoğul), terra (tekil)) denir; çünkü Ay denizlerinden daha yüksektirler. Ay'ın görünen yüzünde, içleri bazalt ile dolu olan kraterlerin çevresinde birçok dağ sırasına rastlanır. Bunların kraterlerin çevrelerinde oluşan yükseltilerin kalıntıları olduğu düşünülmektedir. Dünya'da karşılaşılan oluşumun aksine, başlıca Ay dağlarının hiçbirinin tektonik etkinlikler sonucu oluşmadığına inanılmaktadır. 1994 yılında gerçekleştirilen Clementine görevinden alınan görsellerde Ay'ın kuzey kutbunda bulunan 73 km genişliğindeki Peary kraterinin çevresindeki dört dağlık bölgenin tüm Ay günü boyunca günışığı aldığı görülmüştür. Günışığının sürekli aydınlatığı bu bölgeler, Ay'ın tutulum düz",300,6480,6780
28,"inin çevresindeki dört dağlık bölgenin tüm Ay günü boyunca günışığı aldığı görülmüştür. Günışığının sürekli aydınlatığı bu bölgeler, Ay'ın tutulum düzlemine olan oldukça küçük eksenel eğikliği nedeniyle mümkündür. Güney kutbunda benzer bölgelere rastlanmamıştır; ancak Shackleton krateri Ay gününün %80'i boyunca gün ışığı altındadır. Ay'ın küçük eksenel eğikliğinin bir başka sonucu da kutup bölgesinde kraterlerin dibinde sürekli gölgede kalan bölgeler olmasıdır. Ay'ın yüzeyinde gökcisimlerinin çarpması sonucu oluşan birçok krater bulunur. Çapı 1 km'den büyük yaklaşık yarım milyon krater Ay yüzeyine göktaşlarının ve kuyruklu yıldızların çarpması sonucu oluşmuştur. Kraterler hemen hemen sabit bir oranla oluştuğu için birim alanda bulunan krater sayısı",300,6720,7020
29,"eyine göktaşlarının ve kuyruklu yıldızların çarpması sonucu oluşmuştur. Kraterler hemen hemen sabit bir oranla oluştuğu için birim alanda bulunan krater sayısı yüzeyin yaşını tahmin etmek için kullanılabilir. Atmosferin, hava olaylarının ve yakın geçmişte jeolojik etkinliklerin olmaması sayesinde bu kraterler, Dünya'dakilerin aksine oldukça iyi korunmuştur. Ay yüzeyinin ve Güneş Sistemi'nin bilinen en büyük krateri Güney Kutbu - Aitken düzlüğüdür. Bu çarpma havzası Ay'ın öteki yüzünde Güney Kutbu ile ekvator arasında yer alır; 2240 km çapında ve 13 km derinliğindedir. Ay'ın görünen yüzünde başlıca kraterler Mare Imbrium, Mare Serenitatis, Mare Crisium ve Mare Nectaris'tir. Regolit Aykabuğunun üzerinde regolit adı verilen taş ve tozdan oluşan bir tabaka bulunur. Yüzeye çarpan",300,6960,7260
30,", Mare Serenitatis, Mare Crisium ve Mare Nectaris'tir. Regolit Aykabuğunun üzerinde regolit adı verilen taş ve tozdan oluşan bir tabaka bulunur. Yüzeye çarpan gökcisimleri nedeniyle oluşan regolit eski yüzeylerde yeni yüzeylere nazaran daha kalındır. Özel olarak regolitin kalınlığının denizlerde 3-5 metre, daha eski yayla bölgelerinde ise 10-20 metre arasında değiştiği tahmin edilmektedir.Çok ince toz hâlinde bulunan regolit tabakasının altında onlarca kilometre kalınlığında oldukça parçalanmış kayalardan oluşan megaregolit tabakası bulunur. Ay yüzeyine sürekli çarpan göktaşları ve kuyrukluyıldızlar nedeniyle küçük miktarlarda su büyük olasılıkla yüzeye eklenmiştir. Bu durumda günışığı suyu elementlerine yani hidrojen ve oksijen ayıracak, bunlar da Ay'ın zayıf kütleçekimi",300,7200,7500
31,"larda su büyük olasılıkla yüzeye eklenmiştir. Bu durumda günışığı suyu elementlerine yani hidrojen ve oksijen ayıracak, bunlar da Ay'ın zayıf kütleçekimi nedeniyle zamanla yüzeyden kaçacaktır. Ancak Ay'ın dönme ekseninin tutulum düzlemine yalnızca 1,5° gibi çok küçük bir eğiklik yapması nedeniyle kutuplar yakınında bulunan bazı derin kraterler hiçbir zaman doğrudan günışığı almadığından ve sürekli gölgede kaldığından buraya düşen su molekülleri uzun zaman süreleri boyunca kararlılığını koruyacak.  Clementine görevi güney kutbunda gölgede kalmış böyle kraterleri haritalandırdı, ve bilgisayar simülasyonları yaklaşık 14.000 km² kadar bir bölgenin sürekli gölgede kaldığını göstermektedir. Clementine görevinin bistatik radar deneyi küçük donmuş su ceplerine işaret eder ve Lunar Prospector görevinden gelen bil",300,7440,7740
